Term,Frequency,PostingList
concept,12,"{'1': [179, 435, 4627, 5021, 5025, 7537, 7619, 8793, 9018], '12': [1535, 2875, 8296, 8364], '13': [1695], '14': [1695], '15': [1244], '18': [487], '2': [1028, 1991, 2007, 2973, 3337, 3349, 3361, 3367, 4065, 4894, 5057], '22': [2618], '26': [6780], '3': [2231], '7': [5, 283, 901, 935, 1019, 1093, 1175, 1218, 1224, 1332, 1405, 1482, 1527, 1685, 1772, 1780, 1829, 1853, 2008, 2175, 2405, 3013, 3271, 3568, 3708, 3718, 4786, 5491, 10367, 10382, 10608, 11465, 12595, 12603, 12622, 12641, 12673, 12722, 12881, 12968, 13442, 14315, 14337, 14936, 16582, 16589, 18231, 18561, 18802, 19243, 19364, 19413, 19426, 19639, 21863, 24726, 24809], '8': [625, 3751]}"
conceptrecognitionin,1,{'22': [10639]}
conceptu,4,"{'1': [711, 6879, 7270, 8006, 8127, 8647], '2': [2993], '7': [221, 2517, 2820, 4256, 4878, 19260, 19971], '8': [2952]}"
concern,9,"{'1': [1950, 2591, 3470, 6850], '12': [64, 227, 329, 707, 6077, 13033], '15': [2464], '18': [1811], '2': [3935], '22': [1157], '26': [2288], '3': [2025], '7': [2632, 5502, 5532, 11746, 11763, 13421, 15709, 16856, 17954, 18267, 18636, 18818, 20583]}"
concerningdifferentselectionstrategi,1,{'22': [770]}
conclu,1,{'15': [6380]}
conclud,11,"{'1': [157, 752, 2422], '12': [99, 3523, 4187, 4247, 7483], '13': [520], '14': [520], '15': [894, 1718], '16': [5549], '17': [49, 325, 3672], '2': [577], '21': [535, 2465], '26': [642, 6173], '7': [1411]}"
conclus,14,"{'1': [424, 1076, 2230, 2534, 2554, 2571, 2625, 6093, 6209, 7074, 7189], '12': [4391, 5821, 13041], '15': [2094, 5258, 5515, 5664, 5807, 5961], '16': [791, 5783], '17': [5339], '18': [2365], '21': [4300], '22': [9860, 10216], '23': [872], '24': [649, 2315], '25': [2957], '3': [963], '7': [5452, 12834, 19209], '8': [2744, 2811]}"
conclusionsandtheroadahead,2,"{'13': [3629], '14': [3629]}"
concord,1,"{'9': [1155, 1470]}"
concret,3,"{'1': [3639, 4590, 7513], '24': [2047], '7': [9233, 12721, 19061]}"
concurr,2,"{'16': [6048], '17': [5429]}"
cond,2,"{'16': [8873], '21': [4394]}"
condit,15,"{'1': [796, 1419, 1968, 2458, 2716, 3127, 3209, 3536, 3962, 4505, 4988, 5427, 5822, 6013, 6369, 6946, 7358, 7832, 8362, 8909, 9408, 9644], '11': [133, 367, 381, 407, 547, 584], '12': [3299, 5538, 5579, 5813, 5877, 6063, 6066, 6072, 8307, 8326, 8365, 8516, 11561, 12538, 12586, 12791, 13643, 13760, 13784, 13798, 13849], '13': [318, 440, 443, 447, 469, 611, 712, 810, 928, 1095, 1173, 1288, 1421, 1426, 1493, 1507, 1652, 1790, 1881, 1972, 2051, 2111, 2184, 2286, 2398, 2467, 2600, 2708, 2798, 2985, 3099, 3116, 3274, 3458, 3533, 3670, 3797, 4014, 4221, 4440, 4652, 4871, 4988], '14': [318, 440, 443, 447, 469, 611, 712, 810, 928, 1095, 1173, 1288, 1421, 1426, 1493, 1507, 1652, 1790, 1881, 1972, 2051, 2111, 2184, 2286, 2398, 2467, 2600, 2708, 2798, 2985, 3099, 3116, 3274, 3458, 3533, 3670, 3797, 4014, 4221, 4440, 4652, 4871, 4988], '15': [1639, 2030], '16': [7696], '18': [863, 1094, 1429], '2': [2890], '22': [2649, 2711, 2760, 2827, 3152, 3207, 3241, 3299, 3339, 3369, 3455, 5097, 6323, 8945, 11129, 11692], '23': [1092], '26': [704, 1057, 2550, 3029, 3045], '7': [6288, 6792, 8081, 9409, 11320, 13217, 15142, 18590, 23186, 24245], '8': [1480], '9': [356, 949, 1138, 1374, 1492, 2247, 2326]}"
conditionalentropi,1,{'22': [2691]}
conditionalheteroscedast,1,{'12': [5529]}
conditionalheteroskedast,1,{'12': [12431]}
conditionalinfomaxfeatureextract,1,{'22': [3164]}
conditionallikelihoodmaximis,1,{'22': [10485]}
conditionalsuperiorpredictiv,2,"{'13': [4411], '14': [4411]}"
conditionalvolatil,1,{'12': [5894]}
conditionsund,1,{'12': [3383]}
conduc,1,{'18': [236]}
conduct,11,"{'12': [5950], '13': [3098], '14': [3098], '15': [370, 1040, 3927, 4875, 4938, 5093, 5490], '16': [5095, 5544, 5606, 5688, 5779], '21': [515, 3335], '24': [642, 1700, 1716, 1904, 2002], '25': [1233], '26': [3790, 5017], '7': [6723, 9162, 13907, 24934], '8': [1320]}"
conductavastcomparisonofmodelstoforecastusinflationand,2,"{'13': [3188], '14': [3188]}"
conductedto,1,{'24': [142]}
conductinginferenceinnonlinearmlmethodsistrickyonepossiblewayistofollowmedeiro,2,"{'13': [2618], '14': [2618]}"
conductor,1,{'26': [7329]}
conejo,1,"{'12': [4741, 11716]}"
conf,4,"{'15': [6202, 6546, 6840, 6875], '2': [4637], '26': [6496, 6516, 6557, 6574, 6591, 6632, 6699, 6971], '8': [4521]}"
confalonieri,1,"{'1': [7, 36, 783, 811, 1648, 1955, 2703, 3523, 4492, 4975, 5414, 5977, 6356, 6900, 6903, 7269, 7301, 7345, 7819, 7957, 7996, 8014, 8052, 8349, 9395, 9423, 9617]}"
confer,14,"{'1': [7646, 7697, 7727, 7766, 7785, 7814, 7862, 7891, 7913, 8040, 8068, 8092, 8250, 8400, 8409, 8464, 8510, 8532, 8676, 8708, 8728, 8844, 8886, 8964, 9032, 9157, 9213, 9251, 9267, 9331, 9440, 9464, 9524, 9548, 9604], '12': [12554], '15': [7299], '16': [4560, 6659, 6722, 6784, 6836, 6853, 6910, 7015, 7026, 7089, 7110, 7112, 7225, 7337, 7753, 8061, 8168, 8824, 8845, 8866, 9020, 9397], '17': [5571, 5625], '18': [2453, 2478, 2487], '2': [4527, 4547, 4657, 4808, 4862, 4984, 5062, 5091, 5131, 5179, 5308, 5343, 5489, 5564, 5669, 5696, 5715, 5743, 5856, 5996, 6099, 6117, 6166], '23': [2019], '24': [2423, 2528, 2560, 2756, 2774, 2792, 2874, 2898, 2947, 3004], '25': [3274, 3357, 3400, 3474], '26': [7218, 7349], '3': [2303, 2325, 2399, 2415, 2439, 2528, 2565, 2610, 2625], '7': [19757, 20074, 20135, 20153, 20243, 20284, 20382, 20532, 20609, 20641, 20677, 20805, 20869, 20889, 20965, 20980, 21003, 21022, 21056, 21082, 21134, 21171, 21203, 21308, 21328, 21404, 21423, 21440, 21465, 21545, 21595, 21614, 21753, 21769, 21790, 21805, 22001, 22181, 22408, 22444, 22612, 22677, 22724, 22790, 22806, 22891, 22926, 23143, 23203, 23228, 23260, 23404, 23448, 23504, 23541, 23580, 23759, 23782, 23820, 23846, 23994, 24050, 24121, 24254, 24272, 24435, 24487, 24617, 24892, 25056, 25127, 25159, 25329, 25356, 25596, 25624, 25639, 25689, 25739, 25752, 25956, 25981, 26003, 26016, 26040, 26070], '8': [3539, 3798, 4456, 4505]}"
conferenceonmachinetran,1,{'17': [5604]}
conferenceonneuralnetwork,2,"{'13': [4125], '14': [4125]}"
confid,5,"{'1': [4350], '12': [6374, 7647, 13523, 13538], '13': [1395, 3063], '14': [1395, 3063], '8': [1722]}"
confidenceintervalscanbeformedatanyvalueofthelassopenalti,2,"{'13': [1539], '14': [1539]}"
confidencexai,1,{'7': [19446]}
configur,1,{'8': [2680]}
confirm,3,"{'11': [290], '12': [5841], '9': [192, 1103]}"
conflict,2,"{'1': [7258, 7262, 7638], '8': [2921, 2943]}"
confluenc,1,{'12': [8950]}
conform,1,{'7': [873]}
confound,1,{'12': [5979]}
confus,3,"{'12': [7636, 13380], '7': [13576], '9': [1276]}"
cong,1,{'21': [5126]}
congest,2,"{'8': [1330, 1473, 3694, 3791], '9': [1977, 2021]}"
congr,1,{'15': [6647]}
congress,2,"{'1': [8653], '12': [8933]}"
conibinatoriulfeatur,1,{'25': [101]}
coniglio,1,{'8': [4322]}
conjug,1,{'22': [8345]}
conjunc,1,{'26': [5007]}
conjunct,1,{'7': [7371]}
conneau,1,"{'18': [267, 944, 2866, 2876]}"
connect,8,"{'15': [6677], '16': [2275, 3149, 3216, 3228, 4211], '2': [4876], '21': [879, 899, 1278, 1298, 4173], '22': [4190, 6553, 6624, 6904], '3': [1748], '7': [1802, 3940, 6301, 6834, 8721, 9999, 11054, 11877, 12211, 15611, 16977, 16999, 18085, 18923, 19340, 20302], '8': [716]}"
connectionismth,1,{'1': [5268]}
connectionist,2,"{'1': [1185, 1580, 5011, 5210, 5232, 5685], '7': [13184, 13195, 13246]}"
connexion,1,{'12': [13832]}
connor,1,"{'15': [6211, 6315, 6468]}"
conrad,2,"{'11': [864], '8': [3043]}"
cons,2,"{'12': [1454], '22': [10176]}"
conscienti,1,{'7': [25537]}
consecut,1,{'15': [2014]}
conselhonacionald,2,"{'13': [38], '14': [38]}"
consensu,5,"{'1': [1385], '12': [3381, 8181], '22': [5332, 11256], '26': [6506], '7': [409, 1961, 8773, 12124]}"
consent,1,{'2': [1321]}
consequ,10,"{'1': [1058, 1218, 5338, 7473], '12': [2117, 7680, 7753], '15': [272], '2': [677], '25': [1462], '26': [1113, 1458, 1819], '3': [1262], '7': [699, 1399, 3239, 6450, 13889, 14418, 18784, 18849], '8': [213], '9': [173]}"
consequentjg,1,{'12': [6143]}
conserv,1,{'3': [1461]}
consi,1,{'2': [101]}
consid,18,"{'1': [1708, 2644, 2848, 2861, 4313, 4328, 4949, 5655, 5793, 6507, 7531], '11': [455, 643, 717, 1071], '12': [471, 645, 711, 1023, 2074, 2157, 2281, 2677, 3003, 4860, 4884, 5212, 5419, 5771, 6586, 6928, 7449, 7793], '13': [64, 83, 243, 381, 1074, 1558, 1567, 3008, 3159, 3225, 3295, 3386, 3504], '14': [64, 83, 243, 381, 1074, 1558, 1567, 3008, 3159, 3225, 3295, 3386, 3504], '15': [3538, 3562, 4149, 5547, 5651], '16': [758, 1051, 2980, 7303, 7479], '17': [208, 1505, 4006], '2': [2514, 2839, 3847], '21': [3055, 3955, 4194], '22': [1382, 2935, 3029, 3658, 4494, 5201, 6056, 6086, 6145, 6277, 7228, 7275, 10040, 10309], '23': [344], '24': [151, 377, 674, 875, 939, 1496, 1792], '25': [2864], '26': [709, 747, 1158, 1383, 1559, 1580, 1593, 1965, 2231, 2339, 2370, 2386, 2437, 2474, 2649, 2707, 2782, 3159, 3278, 3401, 3808, 3926, 3989, 4036, 4227, 4245, 4315, 4545, 5045, 5931, 6022, 6352, 6367], '3': [194, 526], '7': [541, 745, 814, 1035, 1249, 1738, 1865, 2018, 2278, 2397, 2952, 2981, 3257, 3383, 3462, 3512, 3572, 3811, 3894, 4081, 4407, 4531, 4585, 4790, 5832, 5873, 6670, 8863, 9015, 9083, 9622, 9809, 10605, 10930, 11284, 11418, 11922, 13082, 13132, 13206, 13479, 14347, 14519, 14756, 15001, 15007, 15113, 15146, 15230, 15305, 15373, 15520, 15722, 15742, 16081, 16315, 16740, 16820, 16882, 19922], '9': [1032, 1228]}"
consider,10,"{'1': [1895, 3862, 5724], '12': [1555, 7759, 8072, 8432], '16': [3473], '17': [412, 1302], '22': [676, 3797], '23': [1873], '25': [45, 3318], '26': [492, 1529, 2353, 4264, 4962, 5850], '7': [682, 6704, 13818, 14452, 14568, 17749], '9': [198]}"
consideranappl,2,"{'13': [3185], '14': [3185]}"
considerationwhendevelopingnewfeatureselectionalgorithmsitisdefinedasthesensitivityof,1,{'22': [9900]}
considerbothlinearandnonlinearalternativesamong,2,"{'13': [55], '14': [55]}"
considerboththeestimationofthelinearandnonlinear,2,"{'13': [2651], '14': [2651]}"
considereditingalsothelearningrateorlearningrateschedul,1,{'17': [5006]}
consideredsmoothtransitionregress,2,"{'13': [3581], '14': [3581]}"
consideredthecombinationofsmoothtransit,2,"{'13': [3512], '14': [3512]}"
considerinferenceonthecoefficientsofthetruemodel,2,"{'13': [1545], '14': [1545]}"
consideringallrelevantcriterialiketranslationqu,1,{'17': [138]}
consideringthisinitialhypothesi,1,{'17': [4522]}
considermodelingandforecastinglargerealizedcovariancematri,2,"{'13': [3249], '14': [3249]}"
considerpenalizedvarstoforecastsixdifferenteco,2,"{'13': [3214], '14': [3214]}"
considerthecasewherethenumberofcovari,2,"{'13': [2657], '14': [2657]}"
considerthepercentageofsentencesexclud,1,{'17': [2970]}
consist,17,"{'1': [1113, 1626, 1738, 1937, 2306, 2369, 2567, 2885, 5547, 5578, 5600, 6099], '12': [776, 4650, 4760, 13567], '13': [1214, 1244, 1268, 1467, 1851, 2527, 2538, 2679, 3705, 3906, 4937, 4944], '14': [1214, 1244, 1268, 1467, 1851, 2527, 2538, 2679, 3705, 3906, 4937, 4944], '15': [43, 1811, 3816, 3834, 4114, 5800], '16': [1336, 1413, 1641, 2385, 3369], '17': [152], '18': [117, 1672], '21': [630, 1643, 1676, 3716, 4311], '22': [950, 1345, 1932, 3946, 5319, 5589, 7654, 10330], '23': [1429], '24': [1810], '25': [1343], '26': [2067, 3482, 3606, 3819, 4887, 4943, 5260, 6006], '3': [1715, 2149], '7': [7798, 9178, 10162, 11379, 11440, 11556, 11596, 12978, 13359, 14336, 16793, 23978], '9': [29, 746]}"
consistencyandpredictionconsistencyforlagselectioninautoregressivemodelschanandchen,2,"{'13': [1125], '14': [1125]}"
consistencyasamatteroffact,2,"{'13': [1012], '14': [1012]}"
consistencycanalsobestatedintermsofhowclosetheestimatoristotrueparameterforagiven,2,"{'13': [1007], '14': [1007]}"
consistencyofrandomforest,2,"{'13': [4615], '14': [4615]}"
consistencyofthegrouplassoandmultiplekernellearn,1,{'22': [10458]}
consistentandconservativemodelselectionwiththeadaptivelassoinstationaryandnonst,2,"{'13': [4333], '14': [4333]}"
consistentifforeveri,2,"{'13': [1009], '14': [1009]}"
consistentwithl,1,{'22': [4252]}
consistentwiththedatamanifoldstructureshouldassignsimilarvaluestoinstancesthatarenear,1,{'22': [2106]}
consistsofmostofthepopularfeatureselectionalgorithm,1,{'22': [120]}
consolid,2,"{'1': [5607, 6967], '7': [19556]}"
constant,9,"{'12': [3710, 8371], '13': [1747], '14': [1747], '16': [869, 1202, 1321], '17': [1570, 1742, 4146, 4654], '22': [2407, 8162], '24': [1253], '25': [1086], '26': [2735, 3254, 4851]}"
constitut,3,"{'12': [2691], '2': [4217], '7': [9963, 11366, 13059]}"
constrain,5,"{'12': [9578], '17': [5332], '2': [5737], '21': [3134], '7': [5305, 5772, 11458, 12316, 24667, 24728]}"
constraint,7,"{'1': [962, 2302, 2324, 2681, 2683, 3656, 3659, 5319, 5329], '17': [94], '22': [4736, 5664, 7229, 7290, 7327, 8662], '24': [749, 1595, 1614], '26': [403, 2922, 5917], '7': [3169, 4120, 4216, 5672, 6495, 11203, 16205, 18239, 18657, 19502], '8': [482, 1516]}"
constraintcomput,1,{'16': [7850]}
constraintstoguidethefeatureselectionphaseinsteadofperformingthesetwotaskssepar,1,{'22': [4667]}
constrict,1,"{'7': [13094, 13228]}"
construc,1,{'16': [5501]}
construct,13,"{'1': [3349, 9015], '13': [1392, 2729], '14': [1392, 2729], '15': [6168], '16': [8737], '18': [2523], '2': [2767, 4124, 4152], '22': [397, 1937, 5289, 5322, 8680], '24': [355, 534], '25': [3302], '26': [1348, 1409], '3': [676], '7': [5594, 7878, 8871, 11172, 11781, 14037, 17667, 17887, 20707, 22297]}"
consult,4,"{'1': [1858, 1953, 2020, 8445], '26': [7376], '3': [2505, 2558], '7': [15427]}"
consum,7,"{'1': [5581, 7313], '12': [11681], '15': [2853], '17': [838, 3850], '2': [227, 637, 762], '22': [8608], '7': [14412]}"
consumerpriceinfl,2,"{'13': [4304], '14': [4304]}"
consumingtoobtain,1,{'22': [4309]}
consump,1,"{'16': [4745, 4996]}"
consumpt,3,"{'12': [1906, 1917, 3753, 10010, 10320, 10948, 11469], '16': [5071, 7237, 7443, 7648], '8': [2643]}"
contai,1,{'26': [3693]}
contain,14,"{'1': [1882, 3463, 7152], '12': [6042, 6646, 7664], '15': [1835, 3839], '16': [2425], '17': [1308, 4655], '18': [1558], '2': [2597], '21': [2194, 3042], '22': [507, 3677, 7454], '23': [903, 1407, 1514], '24': [2146], '25': [856, 1244, 1311, 1325, 1934, 2951, 3088], '26': [2836, 3601, 3642, 4641, 4681], '7': [1811, 3449, 3945, 6537, 10508, 11760, 13151, 17673, 17885, 18421]}"
contamin,1,{'7': [25036]}
contempl,1,"{'7': [3816, 9214, 18235, 18573]}"
contemporan,1,"{'12': [2598, 10348]}"
contemporari,1,{'8': [1503]}
content,8,"{'1': [4668, 6776], '12': [5796, 5817, 12584], '2': [534, 1682, 1920, 2279], '22': [7024, 7086], '3': [341, 2551], '7': [9245, 10408, 10424, 10765, 13586, 14989, 16651, 17614, 22831], '8': [1219], '9': [2177]}"
contest,2,"{'12': [6055], '3': [1129]}"
context,13,"{'1': [210, 712, 1325, 2017, 3730, 3905, 5154, 7093], '12': [741, 3230, 8550, 8824], '13': [1452], '14': [1452], '16': [223, 2330, 2361, 4454], '18': [2624], '2': [883, 3610, 4895], '21': [4667], '25': [390], '3': [273, 471], '7': [569, 953, 1461, 2124, 3842, 5864, 5975, 6111, 6178, 6351, 12248, 12917, 13452, 13574, 14056, 14061, 14704, 15375, 17102, 17135, 18069, 18143, 18226, 18271, 18665, 18747, 18939, 19389], '8': [1406, 1561, 2101, 2107, 2111], '9': [702]}"
contextawar,1,{'1': [4427]}
contextof,1,{'12': [5474]}
contextofai,1,{'2': [1568]}
contextu,4,"{'1': [3898], '18': [768, 774, 1400, 3164], '2': [2207], '7': [14466, 14582]}"
conti,1,{'21': [4446]}
contigu,2,"{'15': [3540, 6109], '7': [10869]}"
continu,12,"{'12': [3935, 8175, 8543, 11262], '13': [259, 1723, 1732, 4137], '14': [259, 1723, 1732, 4137], '15': [1399], '16': [198, 863], '17': [2327, 3345, 4868, 4879], '18': [1582, 2414], '21': [187], '22': [2634, 8526, 8898, 9398, 9627, 9712, 9724, 9737], '25': [427, 444, 780], '7': [4907, 7721, 16917, 22512, 24010], '8': [733, 2505, 2582, 4427]}"
continuoustim,1,"{'12': [3579, 3634, 4295, 11586]}"
continuoustrainandev,1,{'17': [1813]}
continuousvari,1,{'22': [5270]}
contour,2,"{'23': [1583], '3': [1238]}"
contra,1,{'1': [6667]}
contrac,1,{'16': [9035]}
contract,1,{'16': [5657]}
contractil,1,{'8': [3842]}
contradict,1,{'25': [2459]}
contrari,4,"{'13': [281], '14': [281], '22': [5997], '7': [2333]}"
contrarili,1,"{'7': [3656, 4188, 8682]}"
contrast,10,"{'1': [6694], '12': [4349, 4923, 5323], '15': [4871, 4889, 4891, 5091], '2': [3199], '21': [2660], '22': [3172, 9970], '24': [785], '3': [1003, 1416, 1484, 1540, 1630, 1879], '7': [1550, 7870, 8257, 12911, 14603, 17180, 17572], '8': [572, 815]}"
contrastnorma,1,{'2': [1768]}
contrastto,1,{'2': [3860]}
contrera,1,"{'12': [4750, 11717]}"
contrib,1,{'18': [1621]}
contribu,1,{'22': [3995]}
contribut,12,"{'1': [626, 4082, 7267, 8293], '12': [7098, 7180, 7255, 8236, 8510], '15': [53, 419, 485, 1560, 1577], '16': [434, 3294], '17': [312], '2': [3212, 5865], '22': [3865, 5539, 6123, 6421, 7085, 7323, 7569, 7880, 10685], '24': [1264], '25': [3143], '3': [144, 1611], '7': [188, 240, 820, 898, 1011, 1099, 1947, 2454, 2813, 3030, 3525, 3579, 5808, 5881, 6659, 7055, 7126, 7146, 7293, 7318, 7386, 7530, 7549, 7769, 7806, 7975, 7998, 8168, 8204, 8443, 8594, 8735, 9218, 9804, 10306, 10776, 11001, 12617, 13711, 14442, 15105, 15270, 16767, 16983, 17007, 17621, 18219, 19319, 20657, 21278, 25224], '8': [288, 2951, 3141]}"
contributealgorithmsand,1,{'22': [9144]}
contributionof,1,"{'22': [4758, 6059]}"
contributor,1,{'18': [423]}
control,11,"{'11': [918], '12': [1581, 2566, 3643, 5477, 5487, 9082, 9093, 9429, 9676, 9690, 10170, 11359, 12328, 12705, 12739], '13': [639, 1464], '14': [639, 1464], '16': [6123, 6851, 7224, 7336, 8065, 8867, 9458], '17': [1538, 1567], '2': [5363], '21': [3588], '22': [3994, 4753, 8714], '26': [7334], '7': [3421, 12319, 20504, 20599, 23163, 24348]}"
controljg,1,{'12': [1624]}
controlsthecontributionof,1,{'22': [7185]}
controlsthesparsityof,1,{'22': [7351]}
controlthecontributionof,1,{'22': [7935]}
controlthesparsityof,1,{'22': [4619]}
conv,1,"{'16': [8292, 8508, 9473]}"
conven,1,{'26': [3761]}
conveni,3,"{'1': [456], '12': [300, 7510], '7': [1451]}"
convent,8,"{'15': [181, 1151], '2': [4717], '22': [92, 1356, 1360, 1657, 5263, 9368, 9629, 9739, 10288], '26': [782], '3': [2347], '7': [19773], '8': [609, 760, 3479, 4156], '9': [931]}"
conventionalapproachesbasedonequalweightedforecastsandotherregularizationtechniqu,2,"{'13': [3245], '14': [3245]}"
conver,1,{'17': [1005]}
converg,7,"{'12': [3614, 3708, 11417], '13': [2576, 4936], '14': [2576, 4936], '15': [1638], '16': [2044, 2650, 4196, 4713], '17': [485, 537, 986, 990, 1002, 2126, 2194, 2242, 2245, 2316, 3255, 3663, 4023], '7': [23687]}"
convergenceofboostingalgorithmsusingassumptionsontheperformanceofthebaselearn,2,"{'13': [2524], '14': [2524]}"
convergesindistributiontoagaussiandistributionunderappropri,2,"{'13': [1418], '14': [1418]}"
convers,5,"{'1': [890, 6748, 8542], '12': [433], '26': [1037], '7': [16718, 18266], '9': [1477]}"
conversmanag,1,{'16': [8562]}
convert,5,"{'1': [2610], '17': [908], '18': [757, 1684, 2246, 2341], '22': [2344, 8047], '7': [2386, 8628]}"
convex,6,"{'13': [734], '14': [734], '22': [3895, 4051, 11302], '24': [2905], '26': [1152, 1951, 2743, 3044, 3055, 3069, 3117, 3146, 3157, 3190, 3206, 3242, 3253, 3291, 5583, 5671, 6142, 6147, 6293, 6302, 6890], '7': [9449]}"
convexli,1,{'15': [1160]}
convexoptim,1,{'22': [10478]}
convexprincipalfeatur,1,{'22': [5657]}
convey,2,"{'1': [59, 447, 1547], '7': [2237, 3916, 6821, 9152, 12624, 13384, 14094, 19474]}"
convinc,2,"{'1': [450], '7': [2227, 13078, 13287]}"
convlstm,1,{'16': [8091]}
convnet,1,{'7': [23862]}
convo,2,"{'16': [3248], '2': [4709]}"
convolu,3,"{'16': [3145, 3207, 3233], '21': [2547], '3': [1823]}"
convolut,8,"{'1': [2895, 9317], '16': [113, 3120, 3123, 3152, 3169, 3173, 3284, 3303, 3311, 3336, 3354, 3389, 3400, 3429, 3823, 4297, 4317, 4324, 5280, 6052, 6080, 6626, 6919, 6934, 6958, 7589, 7602, 7769, 7791, 7845, 7859, 7874, 8622, 8904, 8919, 9134, 9320, 9338, 9357, 9376, 9387, 9408, 9615, 9662], '17': [5803], '18': [176, 2679], '2': [4979, 5688, 5965, 6096], '21': [1772, 2563, 3044, 3077, 3221, 4786], '3': [1708, 1721, 1799, 2517, 2620], '7': [5414, 7091, 7592, 9562, 9958, 9983, 10196, 10235, 10246, 10280, 10371, 21435, 21451, 21699, 21750, 21785, 21846, 21996, 23706, 23733, 23775, 23837]}"
convolutionalg,1,{'16': [8676]}
convolutionalneur,1,{'16': [7706]}
convolutionbas,1,"{'16': [5156, 5625]}"
coocurr,1,{'23': [1355]}
cook,1,{'7': [25143]}
cool,1,{'16': [7262]}
coom,1,"{'12': [3817, 11226]}"
cooper,1,{'1': [8514]}
coordin,1,{'9': [2224]}
coordinatedescentalgorithmszouandzhang,2,"{'13': [791], '14': [791]}"
copd,1,{'9': [618]}
cope,1,{'16': [1154]}
copenhagen,1,"{'17': [5608, 5628]}"
copewiththesesituationssecond,1,{'22': [1463]}
copi,5,"{'16': [2333], '17': [5196], '2': [909], '22': [263, 277, 287], '25': [2209, 2229]}"
copost,1,"{'22': [7112, 7149]}"
coprocessor,1,{'16': [4505]}
copubl,1,{'26': [7214]}
copyright,4,"{'2': [913, 976, 1071, 1124, 2198], '22': [295], '3': [1248, 1257], '8': [295]}"
copyrighttag,1,{'2': [2211]}
cor,2,"{'18': [223], '25': [2125]}"
cord,1,{'18': [1953]}
cordon,2,"{'1': [582, 8175], '7': [19900]}"
core,4,"{'1': [4320, 5494], '16': [3627, 3759, 4522], '18': [334, 350, 585, 727, 1066, 1471, 1577, 1744, 2124, 2416], '7': [302, 390, 1435, 15351, 19412, 20088]}"
corefer,1,{'18': [268]}
coreml,1,{'18': [2343]}
corenlp,1,"{'18': [591, 3054]}"
cormack,1,{'1': [7874]}
corner,1,{'25': [2702]}
cornerston,1,{'7': [1855]}
cornia,1,{'7': [24399]}
corona,1,{'7': [25039]}
coronari,3,"{'16': [5187, 7841], '8': [2000], '9': [187, 708]}"
coronaviru,1,{'16': [7052]}
corpor,2,"{'7': [2706, 19191], '8': [2441]}"
corpora,1,{'18': [241]}
corpu,2,"{'17': [5552], '18': [1724]}"
corr,6,"{'1': [7576, 7605, 7682, 8153, 8330, 8477, 8557, 8993, 9132, 9197, 9567], '17': [5701, 5747, 5770, 5806, 5823, 5937, 6019, 6034], '18': [1249, 3373], '22': [3615], '23': [724], '25': [2290]}"
corradi,1,"{'12': [5922, 12411]}"
correct,9,"{'11': [224], '12': [9307, 9888, 10124, 10583, 10945], '13': [1250], '14': [1250], '2': [832, 2088, 3670], '25': [2432], '26': [1029, 1045, 1120, 1144, 1416, 1439, 1477, 1496, 1582, 1601], '7': [674, 700, 9913, 9940, 16518, 17323], '8': [2755]}"
correctionmodel,1,{'12': [2886]}
correctli,6,"{'12': [7710], '15': [450, 2604], '2': [885], '3': [1036, 1504, 1583], '7': [5472], '8': [809, 1327, 1443]}"
correcttreat,1,{'9': [181]}
correl,12,"{'1': [1539, 3443], '12': [5883, 7350], '16': [5444], '2': [853, 881, 3726], '21': [2625], '22': [547, 1269, 2604, 2934, 3002, 3011, 3017, 3409, 3599, 3601, 4438, 5160, 5162, 5205, 6293, 6633, 6659, 6669, 6684, 6699, 7123, 7782], '24': [675], '25': [873, 906, 910, 1082, 1964], '26': [4615, 6941], '7': [3103, 3120, 4623, 7865, 11156, 12325, 15619, 15650, 15751, 15776, 15892, 16408, 16421, 18153, 18177], '8': [479, 720], '9': [1019]}"
correla,1,{'22': [2907]}
correlatederror,2,"{'13': [4851], '14': [4851]}"
correlatedtim,1,{'16': [8443]}
correlationbas,1,"{'22': [3578, 3589, 5123, 10787, 12132]}"
correlationbetween,1,{'1': [3417]}
correlogram,1,{'15': [2489]}
correspond,19,"{'1': [34, 1216, 1931, 2542, 3871], '11': [787], '12': [267, 1049, 7545], '13': [23], '14': [23], '15': [3439, 4308, 5183], '16': [437, 1965, 2890, 3446], '17': [858, 6038], '18': [1235], '21': [183, 1534], '22': [3789, 3932, 4391, 4945, 7851, 8670, 8690], '23': [1570], '24': [407, 1289, 1803, 2348], '25': [1672], '26': [786, 795, 861, 1271, 1938, 2471, 2721, 2790, 3095, 3149, 3286, 3500, 4254, 5424, 5618, 5881], '3': [1720], '7': [365, 2291, 5089, 6612, 7665, 13953], '8': [258], '9': [1793, 2279]}"
correspondingli,3,"{'1': [3754], '26': [4511], '7': [7083]}"
correspondingrelev,1,{'22': [5634]}
correspondingto,2,"{'13': [495], '14': [495]}"
corridorsphysica,1,{'16': [9245]}
corrigendum,1,{'8': [3116]}
corsi,2,"{'13': [3442, 4000], '14': [3442, 4000]}"
cortex,1,{'26': [7284]}
cortez,1,"{'7': [22933, 22953]}"
coselect,1,{'22': [11788]}
cosley,1,"{'1': [4535, 8076]}"
